@RELATION all_data_pacman
		@ATTRIBUTE position-x NUMERIC
		@ATTRIBUTE position-y NUMERIC
		@ATTRIBUTE pacman_legal1 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal2 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal3 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal4 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_mov {West, Stop, East, North, South, None}
		@ATTRIBUTE fantasmas NUMERIC
		@ATTRIBUTE booleanP {True, False}
		@ATTRIBUTE booleanG1 {True, False}
		@ATTRIBUTE booleanG2 {True, False}
		@ATTRIBUTE booleanG3 {True, False}
		@ATTRIBUTE booleanG4 {True, False}
		@ATTRIBUTE positiong1-x NUMERIC
		@ATTRIBUTE positiong1-y NUMERIC
		@ATTRIBUTE positiong2-x NUMERIC
		@ATTRIBUTE positiong2-y NUMERIC
		@ATTRIBUTE positiong3-x NUMERIC
		@ATTRIBUTE positiong3-y NUMERIC
		@ATTRIBUTE positiong4-x NUMERIC
		@ATTRIBUTE positiong4-y NUMERIC
		@ATTRIBUTE ghost1_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost2_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost3_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost4_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE distanciaG1 NUMERIC
		@ATTRIBUTE distanciaG2 NUMERIC
		@ATTRIBUTE distanciaG3 NUMERIC
		@ATTRIBUTE distanciaG4 NUMERIC
		@ATTRIBUTE comida NUMERIC
		@ATTRIBUTE Dcomida NUMERIC
		@ATTRIBUTE pacman_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE score NUMERIC
		@ATTRIBUTE score_next NUMERIC
		
			@data
4, 8, West, Stop, East, North, South, 4, False, True, True, False, False, 4, 7, 4, 12, 5, 1, 7, 1, South, East, Stop, Stop, 1, 4, 9999, 9999, 1, 15, East, 354, 353
4, 7, West, Stop, East, North, South, 4, False, True, True, False, False, 3, 7, 4, 11, 5, 1, 7, 1, West, South, Stop, Stop, 1, 4, 9999, 9999, 1, 16, South, 353, 352
4, 6, West, Stop, East, North, South, 4, False, True, True, False, False, 2, 7, 3, 11, 5, 1, 7, 1, West, West, Stop, Stop, 3, 6, 9999, 9999, 1, 17, South, 352, 351
4, 5, West, Stop, East, North, South, 4, False, True, True, False, False, 2, 7, 4, 11, 5, 1, 7, 1, West, East, Stop, Stop, 4, 6, 9999, 9999, 1, 18, South, 351, 350
4, 6, West, Stop, East, North, South, 4, False, True, True, False, False, 1, 7, 5, 11, 5, 1, 7, 1, West, East, Stop, Stop, 4, 6, 9999, 9999, 1, 17, North, 350, 349
3, 6, West, Stop, East, North, South, 4, False, True, True, False, False, 1, 7, 4, 11, 5, 1, 7, 1, West, West, Stop, Stop, 3, 6, 9999, 9999, 1, 18, West, 349, 348
2, 6, West, Stop, East, North, South, 4, False, True, True, False, False, 1, 8, 5, 11, 5, 1, 7, 1, North, East, Stop, Stop, 3, 8, 9999, 9999, 1, 19, West, 348, 347
2, 7, West, Stop, East, North, South, 4, False, True, True, False, False, 1, 7, 5, 11, 5, 1, 7, 1, South, East, Stop, Stop, 1, 7, 9999, 9999, 1, 18, North, 347, 346
2, 8, West, Stop, East, North, South, 4, False, True, True, False, False, 1, 6, 6, 11, 5, 1, 7, 1, South, East, Stop, Stop, 3, 7, 9999, 9999, 1, 17, North, 346, 345
1, 8, Stop, East, North, South, None, 4, False, True, True, False, False, 2, 6, 5, 11, 5, 1, 7, 1, East, West, Stop, Stop, 3, 7, 9999, 9999, 1, 18, West, 345, 344
1, 7, Stop, East, North, South, None, 4, False, True, True, False, False, 1, 6, 5, 12, 5, 1, 7, 1, West, North, Stop, Stop, 1, 9, 9999, 9999, 1, 19, South, 344, 343
2, 7, West, Stop, East, North, South, 4, False, True, True, False, False, 1, 6, 4, 12, 5, 1, 7, 1, West, West, Stop, Stop, 2, 7, 9999, 9999, 1, 18, East, 343, 342
2, 6, West, Stop, East, North, South, 4, False, True, True, False, False, 1, 7, 4, 13, 5, 1, 7, 1, North, North, Stop, Stop, 2, 9, 9999, 9999, 1, 19, South, 342, 341
1, 6, Stop, East, North, South, None, 4, False, True, True, False, False, 1, 8, 3, 13, 5, 1, 7, 1, North, West, Stop, Stop, 2, 9, 9999, 9999, 1, 20, West, 341, 340
1, 7, Stop, East, North, South, None, 4, False, True, True, False, False, 1, 9, 2, 13, 5, 1, 7, 1, North, West, Stop, Stop, 2, 7, 9999, 9999, 1, 19, North, 340, 339
1, 8, Stop, East, North, South, None, 4, False, True, True, False, False, 1, 9, 2, 12, 5, 1, 7, 1, North, South, Stop, Stop, 1, 5, 9999, 9999, 1, 18, North, 339, 538
1, 9, Stop, East, South, None, None, 4, False, False, True, False, False, 1, 1, 3, 12, 5, 1, 7, 1, Stop, East, Stop, Stop, 9999, 5, 9999, 9999, 1, 17, North, 538, 537
2, 9, West, Stop, East, South, None, 4, False, False, True, False, False, 1, 1, 4, 12, 5, 1, 7, 1, Stop, East, Stop, Stop, 9999, 5, 9999, 9999, 1, 16, East, 537, 536
3, 9, West, Stop, East, South, None, 4, False, False, True, False, False, 1, 1, 4, 12, 5, 1, 7, 1, Stop, East, Stop, Stop, 9999, 4, 9999, 9999, 1, 15, East, 536, 535
4, 9, West, Stop, East, South, None, 4, False, False, True, False, False, 1, 1, 4, 13, 5, 1, 7, 1, Stop, North, Stop, Stop, 9999, 4, 9999, 9999, 1, 14, East, 535, 534
5, 9, West, Stop, East, South, None, 4, False, False, True, False, False, 1, 1, 4, 14, 5, 1, 7, 1, Stop, North, Stop, Stop, 9999, 6, 9999, 9999, 1, 13, East, 534, 533
6, 9, West, Stop, East, North, South, 4, False, False, True, False, False, 1, 1, 4, 13, 5, 1, 7, 1, Stop, South, Stop, Stop, 9999, 6, 9999, 9999, 1, 12, East, 533, 532
6, 10, Stop, East, North, South, None, 4, False, False, True, False, False, 1, 1, 3, 13, 5, 1, 7, 1, Stop, West, Stop, Stop, 9999, 6, 9999, 9999, 1, 13, North, 532, 531
